id,created_at,retweeted,retweet_count,favorited,in_reply_to_status_id,text
1276533120947359745,2020-06-26 15:09:47,False,0,False,,Update 26.06.2020 https://t.co/nKhxmP5UrJ
1276144661774688259,2020-06-25 13:26:11,False,2,False,,"New updates from WHO:
-5 vaccine candidates passed pre-clinical tests and made it to Phase 1.💪
-2 new projects are… https://t.co/KuL8okoYuj"
1273346803413458945,2020-06-17 20:08:30,False,1,False,,"3 new vaccine candidates are now (17 June) recognized by WHO and are in Pre-clinical stage.

Imperial College Londo… https://t.co/mV4u5JsLCs"
1272127877270683648,2020-06-14 11:24:55,False,0,False,1270816567765450753,@ahmed @nytimes Its a great source but statics and graphs are missing. I added here: https://t.co/evfHkGPCsm
1272127645426253824,2020-06-14 11:24:00,False,0,False,1271325750134575104,"@shuklasach Its a great source. But statics and graphs are missing, i added them here: https://t.co/evfHkGPCsm"
1272127278718291972,2020-06-14 11:22:32,False,0,False,1271259663531757568,@gregkoblentz @nytimes Its a great source but statics and graphs are missing. I added them here:… https://t.co/VnkD2SuElC
1272126993862217728,2020-06-14 11:21:24,False,0,False,1270487875365113856,@IlindelatorreMD Is it available in English?
1272126863310295040,2020-06-14 11:20:53,False,0,False,1271639951898099712,"@SpookdBlog Hourly updates on all 136 vaccine candidates here: 
https://t.co/qnK1JqCNxh"
1272126668665171968,2020-06-14 11:20:07,False,0,False,1270713899319353344,"@ColumbiaSurgery Its a good source but graphs and statics are missing. Group size of trials, candidates per country… https://t.co/2Sc7oM7PZR"
1272126206473834498,2020-06-14 11:18:17,False,0,False,1271378400838471682,"@SEACoronavirus More statistic and graphs on vaccine candidates, group sizes and projects per country here:
https://t.co/qnK1JqCNxh"
1272123020631564288,2020-06-14 11:05:37,False,0,False,1271140779650625536,"@JMGrohNeuro @13pt 126 are preclinical, meaning that they are trying to find a method or doing test on animals and… https://t.co/ws6aSeutmi"
1272116925271887873,2020-06-14 10:41:24,False,0,False,1271850285363859457,"@DrTomFrieden Only a vaccine can stop the spread.

Statics and graphs on COVID19 vaccine candidates here:

https://t.co/qnK1JqCNxh"
1272116762822180864,2020-06-14 10:40:45,False,0,False,1271797002507096067,"@DrTomFrieden Only a vaccine can stop the spread.

Statics and graphs on COVID19 vaccine candidates here:

https://t.co/qnK1JqCNxh"
1272116299859181570,2020-06-14 10:38:55,False,0,False,1271988040169328641,"@DrEricDing Statics and graphs on Covid19 vaccine candidates here: 
https://t.co/qnK1JqCNxh"
1272115934669537280,2020-06-14 10:37:28,False,0,False,,"Younger adults are the main source of outbreak clusters. 

A vaccine can prevent that. https://t.co/cPRdxtxQ2T"
1271905024214552578,2020-06-13 20:39:23,False,5,False,,"Good news for Europeans.  
If the University of Oxford approves a coronavirus vaccine that is currently testing, th… https://t.co/wcQh1DJyXO"
1271130485775839232,2020-06-11 17:21:38,False,0,False,1271129659435073547,"@AJEnglish They have also the biggest COVID19 vaccine trial on more than 10,000 children and adults going on in UK.… https://t.co/JZTqHuVsaF"
1271128707390988288,2020-06-11 17:14:34,False,0,False,1271128335494590469,More info: https://t.co/43tMw7U2dX
1271128335494590469,2020-06-11 17:13:06,False,0,False,,"4 new vaccine candidates are now recognized by WHO. 
Keep up the good work good people.💪

Vaccines found: 0
Vaccine… https://t.co/slhsYkKdYp"
1270682405779759104,2020-06-10 11:41:08,False,0,False,1270382115704598529,"@eugenegu Hourly updates on all 133 vaccine candidates here:
https://t.co/43tMw7U2dX"
1270682030750289921,2020-06-10 11:39:38,False,0,False,1270678697062871041,"@carlzimmer @13pt @nytimes Hourly updates on all 133 vaccine candidates here:
https://t.co/43tMw7U2dX"
1270681861476552704,2020-06-10 11:38:58,False,0,False,1270058639273926656,"@RJM20 I hope all the protective measuremes stop them from doing that.
But you bare somehow bright, bc only Univers… https://t.co/P4hUO5t9ko"
1270680894219616256,2020-06-10 11:35:07,False,0,False,1269705843961991170,"@davidicke They actually did and now they are doing trials on 10.000 adults in UK.

Hourly updates on all 133 vacci… https://t.co/72m2KZuX1V"
1270680543378788352,2020-06-10 11:33:44,False,0,False,1269951193796747265,"@MattHancock Shout out to imperial college. 

Hourly updates on 133 Covid19 vaccines here: https://t.co/43tMw7U2dX"
1270679858667028480,2020-06-10 11:31:01,False,0,False,1270677358727610371,@TODAYshow @tomcostellonbc University of Oxford showed promising results and doing trials on 10.000 children and ad… https://t.co/ATtGNqlauA
1270679134142967809,2020-06-10 11:28:08,False,0,False,1270673241007443969,"@padams29 University of Oxford showed promising results in phase 3 and now doing trials on more than 10,000 childre… https://t.co/EAekFUJ0GH"
1270678768634511361,2020-06-10 11:26:41,False,0,False,1270673253556793346,"@milanpaurich University of Oxford showed promising results in phase 3 and now doing trials on more than 10,000 chi… https://t.co/rF7pjZw89w"
1270678558436982785,2020-06-10 11:25:51,False,0,False,1270673318115512320,"@IncTac University of Oxford showed promising results in phase 3 and now doing trials on more than 10,000 children… https://t.co/RXLDtLzKiY"
1270677871531634688,2020-06-10 11:23:07,False,0,False,1270673484448964610,"@milanpaurich Nice reference.

You can also see hourly updates for Covid19 vaccines here:

https://t.co/43tMw7U2dX"
1270677591402450944,2020-06-10 11:22:00,False,0,False,1270673909227163648,"@ivochermont You are right👍🏼.

Hourly updates on Covid19 vaccines here:
https://t.co/43tMw7U2dX"
1270677205002129409,2020-06-10 11:20:28,False,0,False,1270674192996773888,"@bullbear48 Yes.

Hourly updates on Covid19 vaccines here: https://t.co/43tMw7U2dX"
1270676990828449792,2020-06-10 11:19:37,False,0,False,1270674514729250818,"@RogerTh71142375 You are right👍🏼.
Hourly updats on Coronavirus vaccines here: 
https://t.co/43tMw7U2dX"
1270676570928185345,2020-06-10 11:17:57,False,0,False,1270674943823564800,"@mcsmartypants Hourly updats on Coronavirus vaccines here: 
https://t.co/funG1rPJYp"
1270675462147244032,2020-06-10 11:13:32,False,34,False,,RT @VUMC_Vaccines: Excited to see our potent human #SARSCoV2 #antibodies move forward to the clinic as #covid19 treatments as part of a fan…
1270484510497476610,2020-06-09 22:34:46,False,0,False,1270466922459459590,"@SpaceX Hourly updats on Covid19 vaccines here:
https://t.co/43tMw7U2dX"
1270465092937830400,2020-06-09 21:17:36,False,0,False,1270405779082772481,"@tomaspueyo Well written 👍🏼.

You can check latest vaccines trials here: https://t.co/43tMw7U2dX"
1270464508163653638,2020-06-09 21:15:17,False,1,False,1270448288844652545,"@DrDenaGrayson True, we need a vaccine to stop the spread. 

Find all updates regarding vaccines here:
https://t.co/43tMw7U2dX"
1270463846566805504,2020-06-09 21:12:39,False,0,False,1270452665743560705,"@UKCovid19Stats Vaccine trials of University of Oxford has shown promising resukts and more than 10,000 people are… https://t.co/RCvbmRRDnO"
1270409727403601920,2020-06-09 17:37:36,False,0,False,1269977479931768834,@GovernorTomWolf https://t.co/43tMw7U2dX
1270409128188485632,2020-06-09 17:35:13,False,0,False,,I hope the vaccine comes ASAP https://t.co/nToOaZc1nk
1270408883094401024,2020-06-09 17:34:15,False,0,False,1270403568160423936,"@GovMurphy I hope that the vaccine comes ASAP so all this will be over.

Hourly updates on vaccine trials here: https://t.co/43tMw7U2dX"
1270408590856278017,2020-06-09 17:33:05,False,0,False,1270401616827559937,@CDCgov Wow. I hope the vaccine come ASAP
1270407160820891648,2020-06-09 17:27:24,False,0,False,1269491574678982657,"@Newsweek well they have to face many criteria from WHO, CDC and FDA to get the license. I dont think they can go a… https://t.co/CueCeOFEmV"
1270406036390924289,2020-06-09 17:22:56,False,0,False,1270371435492638721,"@FredTJoseph Unfortunatly the vaccine is not ready yet, but many trials are going on and University of Oxford made… https://t.co/oyQOWs89tf"
1270403865280745477,2020-06-09 17:14:19,False,0,False,1269977503461978112,"@nytimes yes, we need the vaccine ASAP.
Oxford has made a good progress in phase III and maybe release 2 billion do… https://t.co/bCrc1OGb3i"
1270402644209786885,2020-06-09 17:09:27,False,0,False,1269130751015964672,"@HFVUnbox we hope too. 

check for hourly updates on vaccines here: 
https://t.co/S77uokv8lz"
1270401970797412356,2020-06-09 17:06:47,False,0,False,,wow https://t.co/g7HEgRlT1Z
1270400278572019713,2020-06-09 17:00:03,False,0,False,,Vaccine is the only remedy https://t.co/og6jQe78ST
1270400025332461570,2020-06-09 16:59:03,False,0,False,1269745729439969282,@NatureBiotech @VUMC_Vaccines @EmoryVaccineCtr @TheWistar @AstraZeneca @EpiVax @Annie_De_Groot Thans for the info.… https://t.co/bbBIUDaTOi
1270399686399209473,2020-06-09 16:57:42,False,0,False,1269278187315515395,@bleedgreenarmy Is there nay source for that?
1270399402344173568,2020-06-09 16:56:35,False,0,False,1268822008214757381,"@Ali79596850 @umarsaif Oxford is going test on more than 10,000 children and adults to ensure that. 

https://t.co/S5CeuNXlBw"
1270399052266569738,2020-06-09 16:55:11,False,0,False,1268810253417607168,@msaadmasood @umarsaif Oh no 🙈
1270398771025805312,2020-06-09 16:54:04,False,0,False,1268798083149766657,"@umarsaif You are totally right Umar. You can check the latest updates of all the vaccine candidates here:

https://t.co/funG1rPJYp"
1270398401474113544,2020-06-09 16:52:36,False,427,False,,"RT @umarsaif: Vaccine developed by Oxford is being mass manufactured in parallel with human trials. If trails are successful in August, Ast…"
1270397935658971137,2020-06-09 16:50:45,False,0,False,1270115944770072577,@signalapp You can also check fir the latest updates on the vaccine here👍🏼
